Field,Value
product_title,Allen Solly
image_urls,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30880727/2024/11/27/b95cdd18-e22c-4d75-a881-7baa0bf58ba71732691428928-Allen-Solly-Men-Tshirts-41732691428433-1.jpg, https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30880727/2024/11/27/c951e7d2-ce2f-4453-87eb-432057dc34dc1732691428907-Allen-Solly-Men-Tshirts-41732691428433-2.jpg, https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30880727/2024/11/27/b011f59b-69ef-4d91-8a31-886a9d0f0f871732691428883-Allen-Solly-Men-Tshirts-41732691428433-3.jpg, https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30880727/2024/11/27/06452781-a189-4267-978c-0c1a12f0e0651732691428855-Allen-Solly-Men-Tshirts-41732691428433-4.jpg"
product_details,"Navy blue T-shirt for men Solid Regular length Round neck Short, drop-shoulder sleeves Knitted pure cotton fabric"
size_fit,Relaxed Fit The model (height 6') is wearing a size M
material_and_care,100% Cotton Machine Wash
Fabric,Pure Cotton
Fit,Relaxed Fit
Length,Regular
Main Trend,New Basics
Multipack Set,Single
Neck,Round Neck
Number of Items,1
Occasion,Casual
Package Contains,1 T-shirt
Pattern,Solid
Print or Pattern Type,Solid
Sleeve Length,Short Sleeves
Sleeve Styling,Drop-Shoulder Sleeves
Sustainable,Regular
Wash Care,Machine Wash
Weave Type,Knitted
