product_title,image_url,description,total_ratings,total_reviews,review_title,review_text
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Loved it""","Delivery was super fast. I got my order in 2 days. After reading so many reviews and doing research finally I ordered this one. Smell is amazing, love the results after only one application on damp hair."
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Loved it""","Delivery was super fast. I got my order in 2 days. After reading so many reviews and doing research finally I ordered this one. Smell is amazing, love the results after only...Read More"
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Moroccanoil Treatment""","I would highly recommend this product as part of your weekly hair care routine. The texture of the oil is thick, but the formula is really light weight and it gets absorbed q...Read More"
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Luxurious oil""",Wooow this oil is very good to control hair fall and very shiny hair  smells great.. this is my 4th bottle it’s a must buy product guys!!
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Best serum for hair""",For any type of hair moroccanoil is the best serum and can also be used as hair oil for scalp. Hair regains its glaze with silky bounce with the help of this serum. I am a re...Read More
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""I love it""",Previous reviews are absolutely true. Thanks nykaa
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Moroccanoil Treatment Oil""",On time delivery very beautiful packaging and nayika I am very happy with the product genuine thank you so much nayika
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Loved it ❤️""",I recently got my hair chemically treated as well as the highlights. my hairstylist suggested me to use the Moroccan oil and I am glad I invested in it. Firstly it smells ama...Read More
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""First purchase""",Hope this will work amazing on my hair scalp.. i love the pack and bottle.
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Amazing""",This is Best Best hair serum for chemically treated hairs. This gives a smooth and shines texture to hairs. This one is recommended by a famous hair stylist. Best. Evetry.
