product_title,image_url,description,total_ratings,total_reviews,review_title,review_text
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Satisfying""",The packaging was good and safe.
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Absolutely perfect""",Its very good for all hair types no bad review for this specially good for dry and damaged hair
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Worth the money""","The products is absolutely wow, smells really nice, works amazingly, packaging is also great."
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Absolutely amazing""",I first bought this product in Paris . Used it and loved it . My hair are long and curly and the product adds shine and required essentials to keep them healthy.
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Best serum I have ever applied""",This is the best serum I’ve applied after head bath on my hair and trust me this is my second bottle . It’s little expensive but trust me it’s worth taking a shot so guys wha...Read More
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""🎀 Moroccanoil Treatment Original Argan Oil""","My hair feels smoother and more manageable, with noticeable softness after application. The oil is lightweight and doesn’t weigh the hair down, though results may vary depend...Read More"
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Magic!!!!""","I was so so so skeptical about this product, but i am glad i gave it a shot. Writing this review after using for 2 weeks. It really makes a change in your hair. I use 2-3 dro...Read More"
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""travel friendly""",This is my 100th bottle to be honest. nothing beats this oil. works like magic. gives your hair such good shine.
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Moroccanoil""","After a lot research on this serum oil 
I ordered this original argan oil 
And hands down this is the best 
I'm pretty sure now why everyone loves it
And the beat part is...Read More"
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Good product""",Good product.works awesome
Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),"https://images-static.nykaa.com/media/catalog/product/a/7/a7f9cef290011521011_1711231.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Best Hair serum""",Very light weight doesn’t weigh down the hair. Makes hair frizz free.
